"광주","8월",690,8,1100,642,6,1019,622,4,958,581,2,867,581,8,876
"광주","9월",743,3,1178,633,4,942,615,4,924,653,5,970,648,4,971
"광주","10월",726,4,1122,705,8,1117,666,3,1064,654,9,1016,594,8,909
"광주","11월",797,6,1289,651,8,1033,711,10,1020,611,4,878,624,3,959
"광주","12월",762,3,1217,630,3,973,647,3,925,582,3,868,607,2,942
"대전","전체",8337,77,12649,7215,66,10636,7027,59,10175,6841,51,9850,7398,61,10629
"대전","1월",604,6,917,566,8,866,519,2,765,539,3,777,545,7,760
"대전","2월",590,6,887,600,5,876,520,4,763,403,2,572,500,6,736
"대전","3월",670,4,1006,535,6,782,589,6,910,540,7,779,599,1,885
"대전","4월",697,5,1029,593,6,868,604,3,860,570,5,806,588,7,859
"대전","5월",816,10,1216,638,8,954,596,3,851,621,4,899,669,3,938
"대전","6월",684,3,1037,644,6,907,565,4,795,564,3,813,632,4,858
"대전","7월",706,10,1054,636,6,908,644,7,919,589,0,856,617,6,883
"대전","8월",731,7,1138,564,6,840,556,5,826,512,3,712,611,6,867
"대전","9월",658,7,1028,624,5,927,615,9,830,618,4,924,678,10,984
"대전","10월",777,5,1206,614,2,923,649,9,953,654,6,955,608,3,846
"대전","11월",718,9,1096,650,7,982,603,4,882,652,5,910,743,5,1103
"대전","12월",686,5,1035,551,1,803,567,3,821,579,9,847,608,3,910
"울산","전체",4347,55,6301,3834,51,5444,3801,50,5238,3660,32,5177,3664,40,5114
"울산","1월",287,3,401,333,4,460,272,0,375,287,0,413,278,3,388
"울산","2월",273,3,392,286,6,410,262,5,345,221,2,319,239,2,334
"울산","3월",336,6,454,293,4,404,355,6,509,235,4,348,305,5,421
"울산","4월",355,7,521,307,10,448,331,2,439,278,5,377,306,2,414
"울산","5월",408,3,587,299,2,404,307,5,417,368,2,504,338,1,510
"울산","6월",366,5,555,334,6,491,338,3,453,341,1,468,309,2,410
"울산","7월",376,2,566,320,5,467,356,6,491,303,2,437,313,8,437
"울산","8월",375,3,555,339,2,502,299,6,404,309,4,422,306,5,423
"울산","9월",364,3,525,309,3,434,329,3,479,305,2,431,320,3,430
"울산","10월",417,8,563,331,3,485,345,3,487,345,3,472,329,4,475
"울산","11월",407,3,579,365,4,512,300,6,420,341,4,507,303,3,430
"울산","12월",383,9,603,318,2,427,307,5,419,327,3,479,318,2,442
"세종","전체",922,15,1301,813,7,1076,788,16,1031,932,17,1330,1166,13,1724
"세종","1월",66,0,90,73,0,109,55,1,66,46,0,56,79,3,126
"세종","2월",67,0,94,66,0,84,50,8,76,44,1,62,78,1,123
"세종","3월",83,2,106,74,3,83,50,0,60,63,0,88,101,2,153
"세종","4월",77,1,115,46,0,64,82,0,110,78,4,123,97,1,147
"세종","5월",75,2,99,62,1,87,77,0,106,85,1,113,107,1,176
"세종","6월",83,3,101,61,0,81,71,2,87,103,3,146,119,0,156
"세종","7월",76,1,122,57,1,79,70,1,93,78,1,108,89,0,125
"세종","8월",79,1,115,51,0,65,62,0,88,77,3,102,98,1,135
"세종","9월",76,1,115,94,0,126,58,0,76,87,1,126,116,1,152
"세종","10월",90,1,130,79,1,110,67,3,81,105,2,160,102,0,150
"세종","11월",82,3,107,79,0,102,71,0,91,88,0,134,88,0,140
"세종","12월",68,0,107,71,1,86,75,1,97,78,1,112,92,3,141
"경기","전체",55463,631,84508,52391,612,77679,53332,537,78225,52968,547,77377,53164,502,78234
"경기","1월",4093,70,6087,4081,71,6313,3890,42,5748,4539,38,6641,4084,43,6085
"경기","2월",3582,46,5655,4213,52,6313,3819,31,5731,3333,31,4886,3583,31,5285
"경기","3월",4335,50,6658,3730,52,5610,4282,35,6343,3615,36,5084,4266,40,6089
"경기","4월",4535,52,6910,4129,41,6172,4444,42,6582,4221,40,6152,4317,28,6483
"경기","5월",4985,60,7666,4522,45,6735,4485,52,6583,4773,56,6981,4687,39,6905
"경기","6월",4513,45,6950,4673,55,6881,4555,37,6751,4314,40,6276,4377,41,6456
"경기","7월",4569,38,6859,4645,48,6907,4638,46,6741,4568,54,6755,4305,44,6403
"경기","8월",4670,37,7286,4142,55,6211,4285,45,6307,4433,44,6434,4665,51,6919
"경기","9월",4626,55,6991,4504,62,6496,4531,43,6626,4581,40,6754,4806,56,6890
"경기","10월",5392,61,8209,4731,53,7011,4855,63,7031,4926,54,7267,4535,49,6541
"경기","11월",5226,54,7859,4710,46,6934,4819,48,6934,4683,60,6737,4826,43,7157
"경기","12월",4937,63,7378,4311,32,6096,4729,53,6848,4982,54,7410,4713,37,7021
"강원","전체",7554,185,11752,7039,133,10779,6605,145,10221,6425,139,10160,6079,140,9354
"강원","1월",535,18,858,617,5,990,455,12,670,489,15,778,423,9,670
"강원","2월",457,10,761,501,4,730,429,12,674,346,2,542,395,15,574
"강원","3월",557,12,849,478,9,707,506,9,733,422,9,647,430,12,605
"강원","4월",582,19,861,505,8,759,534,9,808,528,6,830,453,10,721
"강원","5월",651,15,1016,618,10,934,565,15,880,553,8,831,574,10,861
"강원","6월",621,9,959,684,10,1046,626,13,963,545,20,819,543,11,879
"강원","7월",712,19,1083,630,13,1035,664,9,1081,566,5,977,520,8,870
"강원","8월",774,13,1272,627,18,994,569,11,950,648,12,1118,607,8,985
"강원","9월",640,22,991,629,17,916,568,10,822,582,17,874,578,9,873
"강원","10월",704,16,1069,652,14,1002,619,15,1030,672,17,1038,559,18,835
"강원","11월",688,16,1071,609,12,954,563,16,892,549,18,859,489,16,747
"강원","12월",633,16,962,489,13,712,507,14,718,525,10,847,508,14,734
"충북","전체",9538,188,15539,8398,171,13238,7985,160,12135,7644,149,11354,7939,154,11736
"충북","1월",681,15,1085,648,10,1026,560,5,865,511,8,771,517,5,719
"충북","2월",581,9,1015,630,9,1006,545,8,849,445,7,668,477,14,699
"충북","3월",771,11,1269,597,16,924,649,12,968,529,5,737,587,11,888
"충북","4월",794,23,1245,697,14,1087,666,18,1029,634,10,963,655,12,964
"충북","5월",878,21,1427,699,11,1132,717,14,1091,735,16,1092,763,15,1151
"충북","6월",802,24,1290,755,8,1222,707,22,1052,660,18,974,699,15,1020
"충북","7월",797,14,1308,721,12,1096,775,11,1185,662,13,1053,679,18,947
"충북","8월",851,17,1377,721,20,1123,617,9,946,675,13,958,676,13,981
"충북","9월",822,10,1312,759,23,1184,698,11,1044,705,17,1091,753,14,1239
"충북","10월",902,17,1471,802,18,1338,728,23,1102,753,16,1125,732,17,1119
"충북","11월",892,13,1463,768,15,1199,692,14,1063,735,16,1035,725,14,1066
